Year;Economy;Economy Label;Flow;Flow Label;Direction;Direction Label;US$ at current prices in millions;US$ at current prices in millions Footnote;US$ at current prices in millions Missing value;US$ at current prices per capita;US$ at current prices per capita Footnote;US$ at current prices per capita Missing value;Percentage of total world;Percentage of total world Footnote;Percentage of total world Missing value;Percentage of Gross Domestic Product;Percentage of Gross Domestic Product Footnote;Percentage of Gross Domestic Product Missing value;Percentage of Gross Fixed Capital Formation;Percentage of Gross Fixed Capital Formation Footnote;Percentage of Gross Fixed Capital Formation Missing value
1990;5340;Western Asia;9;Stock;2;Outward;9276;;;95;;;0;;;2;;;9;;
1990;5400;Europe;8;Flow;1;Inward;102575;;;130;;;50;;;1;;;5;;
1990;5400;Europe;8;Flow;2;Outward;140950;;;305;;;58;;;2;;;7;;
1990;5400;Europe;9;Stock;1;Inward;933174;;;1185;;;42;;;11;;;43;;
1990;5400;Europe;9;Stock;2;Outward;1053374;;;2192;;;47;;;13;;;55;;
1990;5410;Eastern Europe;8;Flow;1;Inward;815;;;2;;;0;;;0;;;0;;
1990;5410;Eastern Europe;8;Flow;2;Outward;40;;;0;;;0;;;0;;;0;;
1990;5410;Eastern Europe;9;Stock;1;Inward;2444;;;6;;;0;;;0;;;1;;
1990;5410;Eastern Europe;9;Stock;2;Outward;445;;;6;;;0;;;0;;;1;;
1990;5420;Northern Europe;8;Flow;1;Inward;36417;;;433;;;18;;;2;;;8;;
1990;5420;Northern Europe;8;Flow;2;Outward;38353;;;456;;;16;;;2;;;9;;
1990;5420;Northern Europe;9;Stock;1;Inward;280536;;;3337;;;13;;;15;;;63;;
1990;5420;Northern Europe;9;Stock;2;Outward;322624;;;3838;;;14;;;18;;;73;;
1990;5430;Southern Europe;8;Flow;1;Inward;20627;;;147;;;10;;;1;;;4;;
1990;5430;Southern Europe;8;Flow;2;Outward;10457;;;90;;;4;;;1;;;2;;
1990;5430;Southern Europe;9;Stock;1;Inward;143307;;;1020;;;7;;;7;;;31;;
1990;5430;Southern Europe;9;Stock;2;Outward;80095;;;571;;;4;;;4;;;17;;
1990;5440;Western Europe;8;Flow;1;Inward;44715;;;254;;;22;;;1;;;4;;
1990;5440;Western Europe;8;Flow;2;Outward;92100;;;523;;;38;;;2;;;9;;
1990;5440;Western Europe;9;Stock;1;Inward;506886;;;2879;;;23;;;13;;;51;;
1990;5440;Western Europe;9;Stock;2;Outward;650210;;;3693;;;29;;;16;;;65;;
1990;5500;Oceania;8;Flow;1;Inward;9883;;;377;;;5;;;3;;;11;;
1990;5500;Oceania;8;Flow;2;Outward;2567;;;101;;;1;;;1;;;3;;
1990;5500;Oceania;9;Stock;1;Inward;90250;;;3514;;;4;;;24;;;99;;
1990;5500;Oceania;9;Stock;2;Outward;41961;;;1659;;;2;;;11;;;46;;
1990;1;Individual economies;8;Flow;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;1;Individual economies;8;Flow;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;1;Individual economies;9;Stock;1;Inward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;1;Individual economies;9;Stock;2;Outward;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable;;;Not applicable
1990;4;Afghanistan;8;Flow;1;Inward;0;;;0;;;0;;;0;;;0;;
1990;4;Afghanistan;9;Stock;1;Inward;12;;;1;;;0;;;0;;;2;;
1990;12;Algeria;8;Flow;1;Inward;40;;;2;;;0;;;0;;;0;;
1990;12;Algeria;8;Flow;2;Outward;5;;;0;;;0;;;0;;;0;;
